Gender,Religious Affiliation,Visa Type,Nation of Birth,Nation of Citizenship,Residence Hall/Commuter,# Prev Terms in Res Hall,Current Time Status,Level,Class,Student Type,Program,Outcome,majr,GPA (Inst),GPA Credits (Inst),New/Returning
Female,Muslim,E2,Egypt,Egypt,Commuter,0,Full-Time,Undergraduate,FR - UG Freshman,New First Time Student,(AS_UN_BA) Undeclared BA,BA - Bachelor of Arts,(BIOL) Biology,,0,New
Male,Muslim,F1,Saudi Arabia,Saudi Arabia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSTM) Technology Management,,0,New
Male,,F1,Saudi Arabia,Saudi Arabia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSME) Mechanical Engineering,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Female,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Male,Decline to Respond,F1,Cote d'Ivoire,Cote d'Ivoire,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSIT) Information Technology,,0,New
Male,Decline to Respond,F1,Kazakhstan,Kazakhstan,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSIT) Information Technology,,0,New
Male,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,Mauritania,Mauritania,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,Mauritius,Mauritius,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSSE) Software Engineering,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSME) Mechanical Engineering,,0,New
Male,Decline to Respond,F1,India,India,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,"Taiwan, Republic of China","Taiwan, Republic of China",Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Female,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Male,Decline to Respond,F1,China,China,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(ET_GR_MS) MS - Engineering & Tech. Mgmt.,MS - Master of Science,(MSME) Mechanical Engineering,,0,New
Male,Decline to Respond,F1,Ethiopia,Ethiopia,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(SE_GR_MS) MS - Software Engineering,MS - Master of Science,(MSDS) Data Science,,0,New
Female,Decline to Respond,F1,Indonesia,"Taiwan, Republic of China",Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
Male,Decline to Respond,F1,Cote d'Ivoire,Cote d'Ivoire,Commuter,0,Full-Time,Graduate,GR - Graduate Student,New First Time Student,(BU_BA_MS) MS - Business Analytics,MS - Master of Science,(BUAT) Business Analytics,,0,New
