majr,desc,cip
0,Undeclared,999999
100,"Agriculture, General.",100
101,Agricultural Business and Mgmt,101
102,Agricultural Mechanization.,102
103,Agricultural Production Ops.,103
104,Agricultural & Food Prod Proc.,104
105,Agricultural and Dom Ani Svcs,105
106,Appl Horti & Hor Bus Svcs,106
107,International Agriculture.,107
108,Agricultural Public Services.,108
109,Animal Sciences.,109
110,Food Science and Technology.,110
111,Plant Sciences.,111
112,Soil Science,112
199,"Ag, Ag. Ops, & Rel Sci, Other",199
01BJ,International Agriculture,10701
01BN,"Animal Sciences, General",10901
301,Natural Resources Conser Rsrch,301
302,Natural Resources Mgmt and Pol,302
303,Fishing & Fisheries Sci & Mgmt,303
305,Forestry.,305
306,Wildlife & Wildlands Sci & Mgt,306
399,"Natural Resources & Cons, Oth",399
402,Architecture.,402
403,"City/Urban, Com & Reg Planning",403
404,Environmental Design.,404
405,Interior Architecture.,405
406,Landscape Architecture.,406
408,Architectural History & Crit.,408
409,Architectural Sciences & Tech.,409
410,Real Estate Development.,410
499,"Archi & Related Services, Oth.",499
04AA,Architecture,40201
04AC,Environmental Design/Achitect,40401
501,Area Studies.,501
502,"Eth, Cult Min, Gen, & Grp Stud",502
599,"Area, Eth, Cult, & Gen St, Oth",599
05AG,Latin American Studies,50107
901,Comm and Media Studies.,901
904,Journalism.,904
907,"Radio, Tele, and Digital Comm.",907
909,"Publ Rltns, Advert, & Apld Com",909
910,Publishing.,910
999,"Com, Jour, & Related Prgs, Oth",999
09AS,International and intercultura,90907
1001,Comm Technology/Technician.,1001
1002,AV Comm Tech/Technicians.,1002
1003,Graphic Communications.,1003
1099,"Com Tech/Tech & Sprt Svcs, Oth",1099
1101,"Computer & Info Sci, General",1101
1102,Computer Programming.,1102
1103,Data Processing.,1103
1104,Information Science/Studies.,1104
1105,Computer Systems Analysis.,1105
1106,Data Entry/Microcomputer Appl.,1106
1107,Computer Science.,1107
1108,Computer S/w & Media Appl.,1108
1109,Comp Sys Networking & Telecomm,1109
1110,Comp/Info Tech Admin & Mgmt,1110
1199,"Comp/Info Sci & Sprt Svcs, Oth",1199
1203,Funeral Svcs & Mortuary Sci.,1203
1204,Cosmet. & Rel Pers Groom Svcs.,1204
1205,Culinary Arts & Related Svcs.,1205
1299,"Personal & Culinary Svcs, Oth.",1299
13,Education,13
1301,"Education, General",1301
1302,Bi/Multilingual & Multicult Ed,1302
